Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
150,"Z Xing, E Stroulia",API-evolution support with Diff-CatchUp,2007,IEEE Transactions on Software Engineering,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4359473/,"https://scholar.google.com/scholar?cites=2832011828841080486&as_sdt=2005&sciodt=0,5&hl=en",1,25-01-21,,,,,,,,,150,10.71,75,2,14
32,"A Hora, A Etien, N Anquetil, S Ducasse, ...",Apievolutionminer: Keeping api evolution under control,2014,… Evolution Week-IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6747209/,"https://scholar.google.com/scholar?cites=9260321276237897562&as_sdt=2005&sciodt=0,5&hl=en",2,25-01-21,,,,,,,,,32,4.57,6,5,7
313,"J Henkel, A Diwan",CatchUp! Capturing and replaying refactorings to support API evolution,2005,Proceedings of the 27th international conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1062455.1062512,"https://scholar.google.com/scholar?cites=10967332242432249499&as_sdt=2005&sciodt=0,5&hl=en",3,25-01-21,,,,,,,,,313,19.56,157,2,16
72,"J Li, Y Xiong, X Liu, L Zhang",How does web service API evolution affect clients?,2013,2013 IEEE 20th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6649592/,"https://scholar.google.com/scholar?cites=8511840468404323185&as_sdt=2005&sciodt=0,5&hl=en",4,25-01-21,,,,,,,,,72,9,18,4,8
59,"B Dagenais, MP Robillard",SemDiff: Analysis and recommendation support for API evolution,2009,2009 IEEE 31st International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5070565/,"https://scholar.google.com/scholar?cites=3054789001605591893&as_sdt=2005&sciodt=0,5&hl=en",5,25-01-21,,,,,,,,,59,4.92,30,2,12
184,"D Dig, R Johnson",The role of refactorings in API evolution,2005,21st IEEE International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1510134/,"https://scholar.google.com/scholar?cites=514726444539457836&as_sdt=2005&sciodt=0,5&hl=en",6,25-01-21,,,,,,,,,184,11.5,92,2,16
38,"D Hou, X Yao",Exploring the intent behind API evolution: A case study,2011,2011 18th Working Conference on Reverse …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6079836/,"https://scholar.google.com/scholar?cites=6681237710067094838&as_sdt=2005&sciodt=0,5&hl=en",7,25-01-21,,,,,,,,,38,3.8,19,2,10
29,"SM Sohan, C Anslow, F Maurer",A case study of web API evolution,2015,2015 IEEE World Congress …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7196531/,"https://scholar.google.com/scholar?cites=6043543586592606377&as_sdt=2005&sciodt=0,5&hl=en",8,25-01-21,,,,,,,,,29,4.83,10,3,6
48,"S Wang, I Keivanloo, Y Zou",How do developers react to restful api evolution?,2014,International Conference on Service …,Springer,https://link.springer.com/chapter/10.1007/978-3-662-45391-9_17,"https://scholar.google.com/scholar?cites=7867783436806883079&as_sdt=2005&sciodt=0,5&hl=en",9,25-01-21,,,,,,,,,48,6.86,16,3,7
59,"A Hora, R Robbes, N Anquetil, A Etien, ...",How do developers react to api evolution? the pharo ecosystem case,2015,2015 IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7332471/,"https://scholar.google.com/scholar?cites=11019986027756547003&as_sdt=2005&sciodt=0,5&hl=en",10,25-01-21,,,,,,,,,59,9.83,12,5,6
