"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Modeling Framework API Evolution as a Multi-objective Optimization Problem","W. Wu","DGIGL, Ecole Polytech. de Montreal, Montreal, QC, Canada","2011 IEEE 19th International Conference on Program Comprehension","1 Aug 2011","2011","","","262","265","Today's software development depends greatly on frameworks and libraries. When their APIs evolve, developers must update their programs accordingly. Existing approaches facilitate the upgrading process by generating change -- rules based on various input data, such call dependency, text similarity, software metrics, etc. However, existing approaches do not provide 100% precision and recall because of the limited set of input data that they use to generate change -- rules. For example, an approach only considering text similarity usually discovers less change -- rules then that considering both text similarity and call dependency with similar precision. But adding more input data may increase the complexity of the change -- rule generating algorithms and make them unpractical. We propse MOFAE (Multi-Objective Framework API Evolution) by modeling framework API evolution as multi-objective optimization problem to take more input data into account while generating change -- rules and to control the algorithmic complexity.","1092-8138","978-0-7695-4398-7","10.1109/ICPC.2011.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5970177","framework evolution;API evolution;multi-object problem;search based software engineering","USA Councils;Software engineering;Conferences;IEEE Computer Society;Software;Optimization;Libraries","application program interfaces;computational complexity;optimisation;software metrics","framework API evolution modeling;multiobjective optimization problem;software development;text similarity;call dependency;software metrics;change rule generating algorithm complexity;multiobjective framework API evolution","","","32","","1 Aug 2011","","","IEEE","IEEE Conferences"
"API Evolution with RefactoringNG","Z. Tronícĕk","Dept. of Software Eng., FIT CTU in Prague, Prague, Czech Republic","2010 Second World Congress on Software Engineering","22 Feb 2011","2010","2","","293","297","When frameworks and libraries evolve, they often change interfaces. Upgrade to a new version of framework or library leads to changing code manually. We describe a new refactoring tool for the Java programming language that enables automatic migration to a new framework or library, provided that library authors delivered the refactoring rules.","","978-1-4244-9287-9","10.1109/WCSE.2010.107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5718396","Java;refactoring;API evolution;NetBeans","Java;Libraries;Syntactics;Boats;Sun;Software engineering","application program interfaces;Java;software libraries;software maintenance","API evolution;RefactoringNG;Java programming language;library;Java refactoring tool","","","9","","22 Feb 2011","","","IEEE","IEEE Conferences"
"How Does Web Service API Evolution Affect Clients?","J. Li; Y. Xiong; X. Liu; L. Zhang","Key Lab. of High Confidence Software Technol., Peking Univ., Beijing, China; Key Lab. of High Confidence Software Technol., Peking Univ., Beijing, China; Key Lab. of High Confidence Software Technol., Peking Univ., Beijing, China; Key Lab. of High Confidence Software Technol., Peking Univ., Beijing, China","2013 IEEE 20th International Conference on Web Services","31 Oct 2013","2013","","","300","307","Like traditional local APIs, web service APIs (web APIs for short) evolve, bringing new and improved functionality as well as incompatibilities. Client programs have to be modified according to these changes in order to use the new APIs. Unlike client programs of a local API, which could continue to use the old API, clients of a web API often do not have the option not to upgrade, since the old version of the API may not be provided as a service anymore. Therefore, migrating clients of web APIs is a more critical task. Research has been done in the evolution of local APIs and different approaches have been proposed to support the migration of client applications. However, in practice, we seldom observe that web API providers release automated tools or services to assist the migration of client applications. In this paper, we report an empirical study on web API evolution to address this issue. We analyzed the evolution of five popular web APIs, in total 256 hanged API elements, and carefully compared our results with existing empirical study on API evolution. Our findings are threefold: 1) We summarize the API changes into 16 change patterns, which provide grounded supports for future research, 2) We identify 6 completely new challenges in migrating web API clients, which do not exist in the migration of local API clients, 3) We also identify several unique characteristics in web API evolution.","","978-0-7695-5025-1","10.1109/ICWS.2013.48","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6649592","Software Engineering;Software Maintenance;Web Service API Evolution","Google;Libraries;Calendars;Web services;Java;Upper bound;Twitter","application program interfaces;client-server systems;Web services","API elements;client application migration;client migrating;local API;client program;Web service API evolution","","28","14","","31 Oct 2013","","","IEEE","IEEE Conferences"
"Classification of Changes in API Evolution","R. Koçi; X. Franch; P. Jovanovic; A. Abelló","Polytechnic University of Catalonia, Spain; Polytechnic University of Catalonia, Spain; Polytechnic University of Catalonia, Spain; Polytechnic University of Catalonia, Spain","2019 IEEE 23rd International Enterprise Distributed Object Computing Conference (EDOC)","30 Dec 2019","2019","","","243","249","Applications typically communicate with each other, accessing and exposing data and features by using Application Programming Interfaces (APIs). Even though API consumers expect APIs to be steady and well established, APIs are prone to continuous changes, experiencing different evolutive phases through their lifecycle. These changes are of different types, caused by different needs and are affecting consumers in different ways. In this paper, we identify and classify the changes that often happen to APIs, and investigate how all these changes are reflected in the documentation, release notes, issue tracker and API usage logs. The analysis of each step of a change, from its implementation to the impact that it has on API consumers, will help us to have a bigger picture of API evolution. Thus, we review the current state of the art in API evolution and, as a result, we define a classification framework considering both the changes that may occur to APIs and the reasons behind them. In addition, we exemplify the framework using a software platform offering a Web API, called District Health Information System (DHIS2), used collaboratively by several departments of World Health Organization (WHO).","2325-6362","978-1-7281-2702-6","10.1109/EDOC.2019.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8944981","API evolution;API changes classification;log mining;issue tracker","Documentation;Tools;Software;Libraries;Publishing;Focusing;Syntactics","application program interfaces;Internet;pattern classification;software maintenance","API evolution;application programming interfaces;API usage logs;Web API;classification framework","","","20","","30 Dec 2019","","","IEEE","IEEE Conferences"
"SemDiff: Analysis and recommendation support for API evolution","B. Dagenais; M. P. Robillard","School of Computer Science, McGill University, Montréal, QC, Canada; School of Computer Science, McGill University, Montréal, QC, Canada","2009 IEEE 31st International Conference on Software Engineering","10 Jun 2009","2009","","","599","602","As a framework evolves, changes in its application programming interface (API) can break client programs that extend the framework. Repairing a client program can be a challenging task because developers need to understand the context surrounding the API change. This paper describes SemDiff, a tool that recommends replacements for framework methods that were accessed by a client program and deleted during the evolution of the framework. SemDiff recommends replacements for non-trivial changes undiscovered by other change-detection techniques and also enables developers to look at the context of the changes that led to the deletion of a framework method.","1558-1225","978-1-4244-3453-4","10.1109/ICSE.2009.5070565","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5070565","","Application software;Fingerprint recognition;Computer science;Electronic mail;Genetic programming;Software prototyping;Prototypes;User interfaces;Writing;Java","application program interfaces","SemDiff;API evolution;application programming interface;change-detection technique","","17","11","","10 Jun 2009","","","IEEE","IEEE Conferences"
"How do developers react to API evolution? The Pharo ecosystem case","A. Hora; R. Robbes; N. Anquetil; A. Etien; S. Ducasse; M. Tulio Valente","ASERG Group, Department of Computer Science (DCC), Federal University of Minas Gerais, Brazil; PLEIAD Lab, Department of Computer Science (DCC), University of Chile, Santiago, Chile; RMod team, Inria Lille Nord Europe, University of Lille, CRIStAL, UMR 9189, Villeneuve d'Ascq, France; RMod team, Inria Lille Nord Europe, University of Lille, CRIStAL, UMR 9189, Villeneuve d'Ascq, France; RMod team, Inria Lille Nord Europe, University of Lille, CRIStAL, UMR 9189, Villeneuve d'Ascq, France; ASERG Group, Department of Computer Science (DCC), Federal University of Minas Gerais, Brazil","2015 IEEE International Conference on Software Maintenance and Evolution (ICSME)","23 Nov 2015","2015","","","251","260","Software engineering research now considers that no system is an island, but it is part of an ecosystem involving other systems, developers, users, hardware, ... When one system (e.g., a framework) evolves, its clients often need to adapt. Client developers might need to adapt to functionalities, client systems might need to be adapted to a new API, client users might need to adapt to a new User Interface. The consequences of such changes are yet unclear, what proportion of the ecosystem might be expected to react, how long might it take for a change to diffuse in the ecosystem, do all clients react in the same way? This paper reports on an exploratory study aimed at observing API evolution and its impact on a large-scale software ecosystem, Pharo, which has about 3,600 distinct systems, more than 2,800 contributors, and six years of evolution. We analyze 118 API changes and answer research questions regarding the magnitude, duration, extension, and consistency of such changes in the ecosystem. The results of this study help to characterize the impact of API evolution in large software ecosystems, and provide the basis to better understand how such impact can be alleviated.","","978-1-4673-7532-0","10.1109/ICSM.2015.7332471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332471","","Ecosystems;Open source software;Context;History;Computer science;Association rules","application program interfaces;software engineering;user interfaces","API evolution;Pharo ecosystem case;software engineering research;user interface;software ecosystems","","24","37","","23 Nov 2015","","","IEEE","IEEE Conferences"
"Documented Unix Facilities over 48 Years","D. Spinellis","Dept. of Manage. Sci. & Technol., Athens Univ. of Econ. & Bus., Athens, Greece","2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR)","30 Dec 2018","2018","","","58","61","The documented Unix facilities data set provides the details regarding the evolution of 15596 unique facilities through 93 versions of Unix over a period of 48 years. It is based on the manual transcription of early scanned documents, on the curation of text obtained through optical character recognition, and on the automatic extraction of data from code available on the Unix History Repository. The data are categorized into user commands, system calls, C library functions, devices and special files, file formats and conventions, games et. al., miscellanea, system maintenance procedures and commands, and system kernel interfaces. A timeline view allows the visualization of the evolution across releases. The data can be used for empirical research regarding API evolution, system design, as well as technology adoption and trends.","2574-3864","978-1-4503-5716-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595179","Unix;software evolution;API evolution","Manuals;History;Software;Market research;Documentation;Data mining;Libraries","application program interfaces;social aspects of automation;Unix","system maintenance procedures;system kernel interfaces;API evolution;system design;documented Unix facilities data;manual transcription;optical character recognition;user commands;file formats;Unix history repository;technology adoption;technology trends","","","12","","30 Dec 2018","","","IEEE","IEEE Conferences"
"A Case Study of Web API Evolution","S. M. Sohan; C. Anslow; F. Maurer","Dept. of Comput. Sci., Univ. of Calgary, Calgary, AB, Canada; Dept. of Comput. Sci., Univ. of Calgary, Calgary, AB, Canada; Dept. of Comput. Sci., Univ. of Calgary, Calgary, AB, Canada","2015 IEEE World Congress on Services","17 Aug 2015","2015","","","245","252","When applications are integrated using web APIs, changes on a web API may break the dependent applications. This problem exists because old versions of the APIs may no longer be supported, a lack of adequate documentation to upgrade to a newer version, and insufficient communication of changes. In this paper we conducted a case study of evolving Web APIs to investigate what changes are made between versions and how the changes are documented and communicated to the API users. The findings are a list of recommendations for practitioners and researchers based on API change profiles, versioning, documentation and communication approaches that are observed in practice. This study will help inform developers of evolving Web APIs to make decision about versioning, documentation and communication methods.","2378-3818","978-1-4673-7275-6","10.1109/SERVICES.2015.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7196531","Case Study;RESTful;SOAP;Web API Evolution;WSDL","Google;Documentation;Facebook;Business;Simple object access protocol;Industries;XML","application program interfaces;Internet;software maintenance;system documentation","API change profiles;Web API versioning;Web API documentation;Web API communication","","10","20","","17 Aug 2015","","","IEEE","IEEE Conferences"
"Exploring the Intent behind API Evolution: A Case Study","D. Hou; X. Yao","Electr. & Comput. Eng., Clarkson Univ., Potsdam, NY, USA; Comput. Sci., Clarkson Univ., Potsdam, NY, USA","2011 18th Working Conference on Reverse Engineering","17 Nov 2011","2011","","","131","140","Reuse has significantly improved software productivity and quality. An application interacts with a reused system through its Application Programming Interfaces (API). To make the life of the application developer easier, it is desirable for the API to be both sufficiently powerful and stable. Unfortunately, in reality APIs inevitably change, to be more powerful or to remove design flaws. This may create additional work for the application developer to adapt to the changed API. Thus, to counter the negative impacts of API evolution, we need to study how and why APIs are evolved. To that end, we performed a detailed analysis of the evolution of a production API. In particular, we categorized the changes to the API according to its domain semantics and design intent. We discussed the implications of our findings for both API designers and application developers.","2375-5369","978-1-4577-1948-6","10.1109/WCRE.2011.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079836","Frameworks and libraries;APIs;software evolution;design intent;empirical studies","Java;Documentation;History;Libraries;Production;Catalogs;Data mining","application program interfaces;software quality;software reusability","API evolution;software productivity;software quality;software reusability;application programming interface","","20","21","","17 Nov 2011","","","IEEE","IEEE Conferences"
"API-Evolution Support with Diff-CatchUp","Z. Xing; E. Stroulia","Univ of Alberta, Edmonton; Univ of Alberta, Edmonton","IEEE Transactions on Software Engineering","5 Nov 2007","2007","33","12","818","836","Applications built on reusable component frameworks are subject to two independent, and potentially conflicting, evolution processes. The application evolves in response to the specific requirements and desired qualities of the application's stakeholders. On the other hand, the evolution of the component framework is driven by the need to improve the framework functionality and quality while maintaining its generality. Thus, changes to the component framework frequently change its API on which its client applications rely and, as a result, these applications break. To date, there has been some work aimed at supporting the migration of client applications to newer versions of their underlying frameworks, but it usually requires that the framework developers do additional work for that purpose or that the application developers use the same tools as the framework developers. In this paper, we discuss our approach to tackle the API-evolution problem in the context of reuse-based software development, which automatically recognizes the API changes of the reused framework and proposes plausible replacements to the ""obsolete"" API based on working examples of the framework code base. This approach has been implemented in the Diff-CatchUp tool. We report on two case studies that we have conducted to evaluate the effectiveness of our approach with its Diff-CatchUp prototype.","1939-3520","","10.1109/TSE.2007.70747","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359473","D.2.2.eProgrammer workbench;D.2.3Coding Tools and Techniques;D.2.3.aObject-oriented programming;D.2.10.g Object-oriented design methods;D.2.2.eProgrammer workbench;D.2.3Coding Tools and Techniques;D.2.3.aObject-oriented programming;D.2.10.g Object-oriented design methods","Application software;Programming;Software prototyping;Prototypes;Costs;Software engineering;Software tools;Documentation","application program interfaces;object-oriented programming;software maintenance;software prototyping;software quality;software reusability;software tools","API-evolution support;reuse-based software development;Diff-CatchUp tool;reusable component framework evolution;component framework functionality;component framework quality;component framework maintenance;client application migration","","58","27","","5 Nov 2007","","","IEEE","IEEE Journals"
