Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"How do developers react to API evolution? A large-scale empirical study","Software Quality Journal","","26","1","10.1007/s11219-016-9344-4","André HoraRomain RobbesMarco Tulio ValenteNicolas AnquetilAnne EtienStéphane Ducasse","2018","http://link.springer.com/article/10.1007/s11219-016-9344-4","Article"
"How Do Developers React to RESTful API Evolution?","Service-Oriented Computing","","","","10.1007/978-3-662-45391-9_17","Shaohua WangIman KeivanlooYing Zou","2014","http://link.springer.com/chapter/10.1007/978-3-662-45391-9_17","Chapter"
"The impact of imperfect change rules on framework API evolution identification: an empirical study","Empirical Software Engineering","","20","4","10.1007/s10664-014-9317-9","Wei WuAdrien ServeauxYann-Gaël GuéhéneucGiuliano Antoniol","2015","http://link.springer.com/article/10.1007/s10664-014-9317-9","Article"
"To react, or not to react: Patterns of reaction to API deprecation","Empirical Software Engineering","","24","6","10.1007/s10664-019-09713-w","Anand Ashok SawantRomain RobbesAlberto Bacchelli","2019","http://link.springer.com/article/10.1007/s10664-019-09713-w","Article"
"On the reaction to deprecation of clients of 4 + 1 popular Java APIs and the JDK","Empirical Software Engineering","","23","4","10.1007/s10664-017-9554-9","Anand Ashok SawantRomain RobbesAlberto Bacchelli","2018","http://link.springer.com/article/10.1007/s10664-017-9554-9","Article"
"Analyzing a decade of Linux system calls","Empirical Software Engineering","","23","3","10.1007/s10664-017-9551-z","Mojtaba BagherzadehNafiseh KahaniCor-Paul BezemerAhmed E. HassanJuergen DingelJames R. Cordy","2018","http://link.springer.com/article/10.1007/s10664-017-9551-z","Article"
"MAD-API: Detection, Correction and Explanation of API Misuses in Distributed Android Applications","Artificial Intelligence and Mobile Services – AIMS 2018","","","","10.1007/978-3-319-94361-9_10","Tianyue LuoJingzheng WuMutian YangSizhe ZhaoYanjun WuYongji Wang","2018","http://link.springer.com/chapter/10.1007/978-3-319-94361-9_10","Chapter"
"What are the characteristics of popular APIs? A large-scale study on Java, Android, and 165 libraries","Software Quality Journal","","28","2","10.1007/s11219-019-09476-z","Caroline LimaAndre Hora","2020","http://link.springer.com/article/10.1007/s11219-019-09476-z","Article"
"You broke my code: understanding the motivations for breaking changes in APIs","Empirical Software Engineering","","25","2","10.1007/s10664-019-09756-z","Aline BritoMarco Tulio ValenteLaerte XavierAndre Hora","2020","http://link.springer.com/article/10.1007/s10664-019-09756-z","Article"
"An Empirical Study on Evolution of API Documentation","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-19811-3_29","Lin ShiHao ZhongTao XieMingshu Li","2011","http://link.springer.com/chapter/10.1007/978-3-642-19811-3_29","Chapter"
